MEGYE,OEVK,SZEKHELY,KULKEPVISELET,VALASZTOK
BUDAPEST,01,Budapest V. kerület,Kuala Lumpur,1
BUDAPEST,01,Budapest V. kerület,Rabat,5
BUDAPEST,01,Budapest V. kerület,Mexikóváros,2
BUDAPEST,01,Budapest V. kerület,Ulánbátor,1
BUDAPEST,01,Budapest V. kerület,Edinburgh,15
BUDAPEST,01,Budapest V. kerület,London,205
BUDAPEST,01,Budapest V. kerület,Manchester,21
BUDAPEST,01,Budapest V. kerület,Berlin,88
BUDAPEST,01,Budapest V. kerület,Düsseldorf,47
BUDAPEST,01,Budapest V. kerület,München,66
BUDAPEST,01,Budapest V. kerület,Stuttgart,42
BUDAPEST,01,Budapest V. kerület,Osló,17
BUDAPEST,01,Budapest V. kerület,Milánó,27
BUDAPEST,01,Budapest V. kerület,Róma,42
BUDAPEST,01,Budapest V. kerület,Jekatyerinburg,1
BUDAPEST,01,Budapest V. kerület,Moszkva,6
BUDAPEST,01,Budapest V. kerület,Szentpétervár,3
BUDAPEST,01,Budapest V. kerület,Lima,7
BUDAPEST,01,Budapest V. kerület,Lisszabon,14
BUDAPEST,01,Budapest V. kerület,Bukarest,5
BUDAPEST,01,Budapest V. kerület,Csíkszereda,57
BUDAPEST,01,Budapest V. kerület,Kolozsvár,30
BUDAPEST,01,Budapest V. kerület,Barcelona,21
BUDAPEST,01,Budapest V. kerület,Madrid,23
BUDAPEST,01,Budapest V. kerület,Bern,84
BUDAPEST,01,Budapest V. kerület,Stockholm,26
BUDAPEST,01,Budapest V. kerület,Belgrád,5
BUDAPEST,01,Budapest V. kerület,Szabadka,18
BUDAPEST,01,Budapest V. kerület,Szingapúr,4
BUDAPEST,01,Budapest V. kerület,Pozsony,3
BUDAPEST,01,Budapest V. kerület,Lendva,1
BUDAPEST,01,Budapest V. kerület,Ljubljana,7
BUDAPEST,01,Budapest V. kerület,Bangkok,9
BUDAPEST,01,Budapest V. kerület,Ankara,2
BUDAPEST,01,Budapest V. kerület,Isztambul,5
BUDAPEST,01,Budapest V. kerület,Tunisz,1
BUDAPEST,01,Budapest V. kerület,Wellington,6
BUDAPEST,01,Budapest V. kerület,Beregszász,18
BUDAPEST,01,Budapest V. kerület,Kijev,2
BUDAPEST,01,Budapest V. kerület,Ungvár,3
BUDAPEST,01,Budapest V. kerület,Taskent,1
BUDAPEST,01,Budapest V. kerület,Hanoi,4
BUDAPEST,01,Budapest V. kerület,Ho Chi Minh Város,3
BUDAPEST,02,Budapest XI. kerület,Algír,1
BUDAPEST,02,Budapest XI. kerület,Chicago,5
BUDAPEST,02,Budapest XI. kerület,Los Angeles,12
BUDAPEST,02,Budapest XI. kerület,New York,40
BUDAPEST,02,Budapest XI. kerület,San Francisco,15
BUDAPEST,02,Budapest XI. kerület,Washington,21
BUDAPEST,02,Budapest XI. kerület,Buenos Aires,3
BUDAPEST,02,Budapest XI. kerület,Melbourne,3
BUDAPEST,02,Budapest XI. kerület,Sydney,22
BUDAPEST,02,Budapest XI. kerület,Bécs,53
BUDAPEST,02,Budapest XI. kerület,Baku,2
BUDAPEST,02,Budapest XI. kerület,Minszk,2
BUDAPEST,02,Budapest XI. kerület,Brüsszel,84
BUDAPEST,02,Budapest XI. kerület,Szarajevó,3
BUDAPEST,02,Budapest XI. kerület,Sao Paulo,1
BUDAPEST,02,Budapest XI. kerület,Santiago de Chile,3
BUDAPEST,02,Budapest XI. kerület,Prága,8
BUDAPEST,02,Budapest XI. kerület,Koppenhága,34
BUDAPEST,02,Budapest XI. kerület,Pretoria,2
BUDAPEST,02,Budapest XI. kerület,Quito,2
BUDAPEST,02,Budapest XI. kerület,Abu Dhabi,10
BUDAPEST,02,Budapest XI. kerület,Kairó,1
BUDAPEST,02,Budapest XI. kerület,Addisz-Abeba,2
BUDAPEST,02,Budapest XI. kerület,Helsinki,14
BUDAPEST,02,Budapest XI. kerület,Párizs,52
BUDAPEST,02,Budapest XI. kerület,Manila,1
BUDAPEST,02,Budapest XI. kerület,Tbiliszi,2
BUDAPEST,02,Budapest XI. kerület,Accra,1
BUDAPEST,02,Budapest XI. kerület,Athén,4
BUDAPEST,02,Budapest XI. kerület,Hága,79
BUDAPEST,02,Budapest XI. kerület,Zágráb,5
BUDAPEST,02,Budapest XI. kerület,Mumbai,1
BUDAPEST,02,Budapest XI. kerület,Teherán,1
BUDAPEST,02,Budapest XI. kerület,Dublin,17
BUDAPEST,02,Budapest XI. kerület,Tel-Aviv,10
BUDAPEST,02,Budapest XI. kerület,Tokió,5
BUDAPEST,02,Budapest XI. kerület,Ottawa,6
BUDAPEST,02,Budapest XI. kerület,Toronto,17
BUDAPEST,02,Budapest XI. kerület,Doha,4
BUDAPEST,02,Budapest XI. kerület,Almati,1
BUDAPEST,02,Budapest XI. kerület,Asztana,2
BUDAPEST,02,Budapest XI. kerület,Nairobi,1
BUDAPEST,02,Budapest XI. kerület,Hongkong,4
BUDAPEST,02,Budapest XI. kerület,Peking,4
BUDAPEST,02,Budapest XI. kerület,Sanghaj,5
BUDAPEST,02,Budapest XI. kerület,Szöul,4
BUDAPEST,02,Budapest XI. kerület,Pristina,1
BUDAPEST,02,Budapest XI. kerület,Havanna,4
BUDAPEST,02,Budapest XI. kerület,Krakkó,16
BUDAPEST,02,Budapest XI. kerület,Varsó,4
BUDAPEST,02,Budapest XI. kerület,Riga,2
BUDAPEST,02,Budapest XI. kerület,Bejrút,3
BUDAPEST,02,Budapest XI. kerület,Vilnius,1
BUDAPEST,02,Budapest XI. kerület,Szkopje,3
BUDAPEST,02,Budapest XI. kerület,Kuala Lumpur,6
BUDAPEST,02,Budapest XI. kerület,Rabat,6
BUDAPEST,02,Budapest XI. kerület,Edinburgh,20
BUDAPEST,02,Budapest XI. kerület,London,180
BUDAPEST,02,Budapest XI. kerület,Manchester,19
BUDAPEST,02,Budapest XI. kerület,Berlin,69
BUDAPEST,02,Budapest XI. kerület,Düsseldorf,47
BUDAPEST,02,Budapest XI. kerület,München,78
BUDAPEST,02,Budapest XI. kerület,Stuttgart,49
BUDAPEST,02,Budapest XI. kerület,Osló,13
BUDAPEST,02,Budapest XI. kerület,Milánó,25
BUDAPEST,02,Budapest XI. kerület,Róma,19
BUDAPEST,02,Budapest XI. kerület,Moszkva,4
BUDAPEST,02,Budapest XI. kerület,Lima,2
BUDAPEST,02,Budapest XI. kerület,Lisszabon,12
BUDAPEST,02,Budapest XI. kerület,Bukarest,3
BUDAPEST,02,Budapest XI. kerület,Csíkszereda,36
BUDAPEST,02,Budapest XI. kerület,Kolozsvár,12
BUDAPEST,02,Budapest XI. kerület,Barcelona,16
BUDAPEST,02,Budapest XI. kerület,Madrid,19
BUDAPEST,02,Budapest XI. kerület,Bern,75
BUDAPEST,02,Budapest XI. kerület,Stockholm,35
BUDAPEST,02,Budapest XI. kerület,Belgrád,1
BUDAPEST,02,Budapest XI. kerület,Szabadka,15
BUDAPEST,02,Budapest XI. kerület,Szingapúr,13
BUDAPEST,02,Budapest XI. kerület,Pozsony,4
BUDAPEST,02,Budapest XI. kerület,Ljubljana,4
BUDAPEST,02,Budapest XI. kerület,Bangkok,4
BUDAPEST,02,Budapest XI. kerület,Ankara,4
BUDAPEST,02,Budapest XI. kerület,Isztambul,2
BUDAPEST,02,Budapest XI. kerület,Tunisz,1
BUDAPEST,02,Budapest XI. kerület,Wellington,4
BUDAPEST,02,Budapest XI. kerület,Beregszász,15
BUDAPEST,02,Budapest XI. kerület,Kijev,1
BUDAPEST,02,Budapest XI. kerület,Ungvár,4
BUDAPEST,02,Budapest XI. kerület,Taskent,1
BUDAPEST,02,Budapest XI. kerület,Ho Chi Minh Város,1
BUDAPEST,03,Budapest XII. kerület,Tirana,2
BUDAPEST,03,Budapest XII. kerület,Algír,1
BUDAPEST,03,Budapest XII. kerület,Chicago,15
BUDAPEST,03,Budapest XII. kerület,Los Angeles,25
BUDAPEST,03,Budapest XII. kerület,New York,73
BUDAPEST,03,Budapest XII. kerület,San Francisco,27
BUDAPEST,03,Budapest XII. kerület,Washington,40
BUDAPEST,03,Budapest XII. kerület,Luanda,1
BUDAPEST,03,Budapest XII. kerület,Buenos Aires,3
BUDAPEST,03,Budapest XII. kerület,Melbourne,8
BUDAPEST,03,Budapest XII. kerület,Sydney,29
BUDAPEST,03,Budapest XII. kerület,Bécs,81
BUDAPEST,03,Budapest XII. kerület,Minszk,1
BUDAPEST,03,Budapest XII. kerület,Brüsszel,89
BUDAPEST,03,Budapest XII. kerület,Szarajevó,2
BUDAPEST,03,Budapest XII. kerület,Sao Paulo,6
BUDAPEST,03,Budapest XII. kerület,Szófia,2
BUDAPEST,03,Budapest XII. kerület,Santiago de Chile,5
BUDAPEST,03,Budapest XII. kerület,Prága,18
BUDAPEST,03,Budapest XII. kerület,Koppenhága,45
BUDAPEST,03,Budapest XII. kerület,Pretoria,6
BUDAPEST,03,Budapest XII. kerület,Quito,1
BUDAPEST,03,Budapest XII. kerület,Abu Dhabi,9
BUDAPEST,03,Budapest XII. kerület,Kairó,2
BUDAPEST,03,Budapest XII. kerület,Helsinki,19
BUDAPEST,03,Budapest XII. kerület,Párizs,86
BUDAPEST,03,Budapest XII. kerület,Tbiliszi,2
BUDAPEST,03,Budapest XII. kerület,Athén,9
BUDAPEST,03,Budapest XII. kerület,Hága,75
BUDAPEST,03,Budapest XII. kerület,Zágráb,9
BUDAPEST,03,Budapest XII. kerület,Mumbai,3
BUDAPEST,03,Budapest XII. kerület,Újdelhi,2
BUDAPEST,03,Budapest XII. kerület,Erbil,1
BUDAPEST,03,Budapest XII. kerület,Teherán,4
BUDAPEST,03,Budapest XII. kerület,Dublin,18
BUDAPEST,03,Budapest XII. kerület,Tel-Aviv,20
BUDAPEST,03,Budapest XII. kerület,Tokió,10
BUDAPEST,03,Budapest XII. kerület,Amman,1
BUDAPEST,03,Budapest XII. kerület,Ottawa,7
BUDAPEST,03,Budapest XII. kerület,Toronto,20
BUDAPEST,03,Budapest XII. kerület,Doha,6
BUDAPEST,03,Budapest XII. kerület,Nairobi,5
BUDAPEST,03,Budapest XII. kerület,Hongkong,8
BUDAPEST,03,Budapest XII. kerület,Peking,1
BUDAPEST,03,Budapest XII. kerület,Sanghaj,7
BUDAPEST,03,Budapest XII. kerület,Bogota,2
BUDAPEST,03,Budapest XII. kerület,Szöul,2
BUDAPEST,03,Budapest XII. kerület,Havanna,5
BUDAPEST,03,Budapest XII. kerület,Kuvait,3
BUDAPEST,03,Budapest XII. kerület,Krakkó,9
BUDAPEST,03,Budapest XII. kerület,Varsó,16
BUDAPEST,03,Budapest XII. kerület,Riga,4
BUDAPEST,03,Budapest XII. kerület,Bejrút,1
BUDAPEST,03,Budapest XII. kerület,Tripoli,1
BUDAPEST,03,Budapest XII. kerület,Vilnius,2
BUDAPEST,03,Budapest XII. kerület,Szkopje,4
BUDAPEST,03,Budapest XII. kerület,Kuala Lumpur,6
BUDAPEST,03,Budapest XII. kerület,Rabat,8
BUDAPEST,03,Budapest XII. kerület,Mexikóváros,2
BUDAPEST,03,Budapest XII. kerület,Kisinyov,1
BUDAPEST,03,Budapest XII. kerület,Podgorica,6
BUDAPEST,03,Budapest XII. kerület,Edinburgh,34
BUDAPEST,03,Budapest XII. kerület,London,243
BUDAPEST,03,Budapest XII. kerület,Manchester,23
BUDAPEST,03,Budapest XII. kerület,Berlin,99
BUDAPEST,03,Budapest XII. kerület,Düsseldorf,46
BUDAPEST,03,Budapest XII. kerület,München,95
BUDAPEST,03,Budapest XII. kerület,Stuttgart,54
BUDAPEST,03,Budapest XII. kerület,Abuja,2
BUDAPEST,03,Budapest XII. kerület,Osló,16
BUDAPEST,03,Budapest XII. kerület,Milánó,24
BUDAPEST,03,Budapest XII. kerület,Róma,39
BUDAPEST,03,Budapest XII. kerület,Moszkva,7
BUDAPEST,03,Budapest XII. kerület,Szentpétervár,1
BUDAPEST,03,Budapest XII. kerület,Iszlámábád,1
BUDAPEST,03,Budapest XII. kerület,Lima,2
BUDAPEST,03,Budapest XII. kerület,Lisszabon,19
BUDAPEST,03,Budapest XII. kerület,Bukarest,9
BUDAPEST,03,Budapest XII. kerület,Csíkszereda,22
BUDAPEST,03,Budapest XII. kerület,Kolozsvár,17
BUDAPEST,03,Budapest XII. kerület,Barcelona,47
BUDAPEST,03,Budapest XII. kerület,Madrid,27
BUDAPEST,03,Budapest XII. kerület,Bern,104
BUDAPEST,03,Budapest XII. kerület,Stockholm,29
BUDAPEST,03,Budapest XII. kerület,Rijád,4
BUDAPEST,03,Budapest XII. kerület,Belgrád,3
BUDAPEST,03,Budapest XII. kerület,Szabadka,9
BUDAPEST,03,Budapest XII. kerület,Szingapúr,7
BUDAPEST,03,Budapest XII. kerület,Pozsony,2
BUDAPEST,03,Budapest XII. kerület,Ljubljana,9
BUDAPEST,03,Budapest XII. kerület,Bangkok,5
BUDAPEST,03,Budapest XII. kerület,Ankara,5
BUDAPEST,03,Budapest XII. kerület,Isztambul,9
BUDAPEST,03,Budapest XII. kerület,Tunisz,2
BUDAPEST,03,Budapest XII. kerület,Beregszász,25
BUDAPEST,03,Budapest XII. kerület,Kijev,1
BUDAPEST,03,Budapest XII. kerület,Ungvár,3
BUDAPEST,03,Budapest XII. kerület,Hanoi,2
BUDAPEST,03,Budapest XII. kerület,Ho Chi Minh Város,9
BUDAPEST,04,Budapest II. kerület,Tirana,1
BUDAPEST,04,Budapest II. kerület,Algír,1
BUDAPEST,04,Budapest II. kerület,Chicago,11
BUDAPEST,04,Budapest II. kerület,Los Angeles,26
BUDAPEST,04,Budapest II. kerület,New York,66
BUDAPEST,04,Budapest II. kerület,San Francisco,12
BUDAPEST,04,Budapest II. kerület,Washington,19
BUDAPEST,04,Budapest II. kerület,Luanda,1
BUDAPEST,04,Budapest II. kerület,Buenos Aires,4
BUDAPEST,04,Budapest II. kerület,Canberra,2
BUDAPEST,04,Budapest II. kerület,Melbourne,6
BUDAPEST,04,Budapest II. kerület,Sydney,13
BUDAPEST,04,Budapest II. kerület,Bécs,75
BUDAPEST,04,Budapest II. kerület,Brüsszel,113
BUDAPEST,04,Budapest II. kerület,Szarajevó,5
BUDAPEST,04,Budapest II. kerület,Sao Paulo,3
BUDAPEST,04,Budapest II. kerület,Szófia,1
BUDAPEST,04,Budapest II. kerület,Santiago de Chile,2
BUDAPEST,04,Budapest II. kerület,Prága,16
BUDAPEST,04,Budapest II. kerület,Koppenhága,47
BUDAPEST,04,Budapest II. kerület,Pretoria,5
BUDAPEST,04,Budapest II. kerület,Quito,3
BUDAPEST,04,Budapest II. kerület,Abu Dhabi,16
BUDAPEST,04,Budapest II. kerület,Kairó,5
BUDAPEST,04,Budapest II. kerület,Helsinki,12
BUDAPEST,04,Budapest II. kerület,Párizs,88
BUDAPEST,04,Budapest II. kerület,Manila,3
BUDAPEST,04,Budapest II. kerület,Tbiliszi,3
BUDAPEST,04,Budapest II. kerület,Athén,13
BUDAPEST,04,Budapest II. kerület,Hága,101
BUDAPEST,04,Budapest II. kerület,Zágráb,5
BUDAPEST,04,Budapest II. kerület,Mumbai,2
BUDAPEST,04,Budapest II. kerület,Újdelhi,4
BUDAPEST,04,Budapest II. kerület,Jakarta,4
BUDAPEST,04,Budapest II. kerület,Dublin,21
BUDAPEST,04,Budapest II. kerület,Tel-Aviv,17
BUDAPEST,04,Budapest II. kerület,Tokió,18
BUDAPEST,04,Budapest II. kerület,Amman,2
BUDAPEST,04,Budapest II. kerület,Ottawa,3
BUDAPEST,04,Budapest II. kerület,Toronto,22
BUDAPEST,04,Budapest II. kerület,Doha,9
BUDAPEST,04,Budapest II. kerület,Asztana,4
BUDAPEST,04,Budapest II. kerület,Nairobi,1
BUDAPEST,04,Budapest II. kerület,Csungking,1
BUDAPEST,04,Budapest II. kerület,Hongkong,2
BUDAPEST,04,Budapest II. kerület,Peking,4
BUDAPEST,04,Budapest II. kerület,Sanghaj,5
BUDAPEST,04,Budapest II. kerület,Bogota,4
BUDAPEST,04,Budapest II. kerület,Szöul,2
BUDAPEST,04,Budapest II. kerület,Pristina,3
BUDAPEST,04,Budapest II. kerület,Kuvait,1
BUDAPEST,04,Budapest II. kerület,Krakkó,4
BUDAPEST,04,Budapest II. kerület,Varsó,9
BUDAPEST,04,Budapest II. kerület,Riga,3
BUDAPEST,04,Budapest II. kerület,Vilnius,1
BUDAPEST,04,Budapest II. kerület,Szkopje,1
BUDAPEST,04,Budapest II. kerület,Kuala Lumpur,9
BUDAPEST,04,Budapest II. kerület,Rabat,2
BUDAPEST,04,Budapest II. kerület,Mexikóváros,2
BUDAPEST,04,Budapest II. kerület,Ulánbátor,1
BUDAPEST,04,Budapest II. kerület,Edinburgh,40
BUDAPEST,04,Budapest II. kerület,London,198
BUDAPEST,04,Budapest II. kerület,Manchester,19
BUDAPEST,04,Budapest II. kerület,Berlin,122
BUDAPEST,04,Budapest II. kerület,Düsseldorf,44
BUDAPEST,04,Budapest II. kerület,München,94
BUDAPEST,04,Budapest II. kerület,Stuttgart,61
BUDAPEST,04,Budapest II. kerület,Osló,27
BUDAPEST,04,Budapest II. kerület,Milánó,37
BUDAPEST,04,Budapest II. kerület,Róma,28
BUDAPEST,04,Budapest II. kerület,Moszkva,3
BUDAPEST,04,Budapest II. kerület,Lima,6
BUDAPEST,04,Budapest II. kerület,Lisszabon,26
BUDAPEST,04,Budapest II. kerület,Bukarest,1
BUDAPEST,04,Budapest II. kerület,Csíkszereda,35
BUDAPEST,04,Budapest II. kerület,Kolozsvár,12
BUDAPEST,04,Budapest II. kerület,Barcelona,21
BUDAPEST,04,Budapest II. kerület,Madrid,32
BUDAPEST,04,Budapest II. kerület,Bern,94
BUDAPEST,04,Budapest II. kerület,Stockholm,31
BUDAPEST,04,Budapest II. kerület,Rijád,6
BUDAPEST,04,Budapest II. kerület,Belgrád,2
BUDAPEST,04,Budapest II. kerület,Szabadka,10
BUDAPEST,04,Budapest II. kerület,Szingapúr,7
BUDAPEST,04,Budapest II. kerület,Kassa,1
BUDAPEST,04,Budapest II. kerület,Pozsony,3
BUDAPEST,04,Budapest II. kerület,Lendva,2
BUDAPEST,04,Budapest II. kerület,Ljubljana,12
BUDAPEST,04,Budapest II. kerület,Bangkok,5
BUDAPEST,04,Budapest II. kerület,Isztambul,7
BUDAPEST,04,Budapest II. kerület,Wellington,8
BUDAPEST,04,Budapest II. kerület,Beregszász,11
BUDAPEST,04,Budapest II. kerület,Kijev,1
BUDAPEST,04,Budapest II. kerület,Ungvár,5
BUDAPEST,04,Budapest II. kerület,Taskent,1
BUDAPEST,04,Budapest II. kerület,Hanoi,4
BUDAPEST,04,Budapest II. kerület,Ho Chi Minh Város,5
BUDAPEST,05,Budapest VII. kerület,Tirana,1
BUDAPEST,05,Budapest VII. kerület,Algír,3
BUDAPEST,05,Budapest VII. kerület,Chicago,6
BUDAPEST,05,Budapest VII. kerület,Los Angeles,20
BUDAPEST,05,Budapest VII. kerület,New York,43
BUDAPEST,05,Budapest VII. kerület,San Francisco,15
BUDAPEST,05,Budapest VII. kerület,Washington,25
BUDAPEST,05,Budapest VII. kerület,Buenos Aires,1
BUDAPEST,05,Budapest VII. kerület,Melbourne,5
BUDAPEST,05,Budapest VII. kerület,Sydney,9
BUDAPEST,05,Budapest VII. kerület,Bécs,34
BUDAPEST,05,Budapest VII. kerület,Brüsszel,83
BUDAPEST,05,Budapest VII. kerület,Szarajevó,5
BUDAPEST,05,Budapest VII. kerület,Sao Paulo,4
BUDAPEST,05,Budapest VII. kerület,Szófia,1
BUDAPEST,05,Budapest VII. kerület,Santiago de Chile,2
BUDAPEST,05,Budapest VII. kerület,Prága,14
BUDAPEST,05,Budapest VII. kerület,Koppenhága,16
BUDAPEST,05,Budapest VII. kerület,Pretoria,6
BUDAPEST,05,Budapest VII. kerület,Quito,1
BUDAPEST,05,Budapest VII. kerület,Abu Dhabi,7
BUDAPEST,05,Budapest VII. kerület,Kairó,2
BUDAPEST,05,Budapest VII. kerület,Helsinki,7
BUDAPEST,05,Budapest VII. kerület,Párizs,77
BUDAPEST,05,Budapest VII. kerület,Manila,1
BUDAPEST,05,Budapest VII. kerület,Tbiliszi,1
BUDAPEST,05,Budapest VII. kerület,Athén,7
BUDAPEST,05,Budapest VII. kerület,Hága,62
BUDAPEST,05,Budapest VII. kerület,Zágráb,3
BUDAPEST,05,Budapest VII. kerület,Újdelhi,3
BUDAPEST,05,Budapest VII. kerület,Jakarta,3
BUDAPEST,05,Budapest VII. kerület,Teherán,4
BUDAPEST,05,Budapest VII. kerület,Dublin,26
BUDAPEST,05,Budapest VII. kerület,Tel-Aviv,23
BUDAPEST,05,Budapest VII. kerület,Tokió,15
BUDAPEST,05,Budapest VII. kerület,Ottawa,5
BUDAPEST,05,Budapest VII. kerület,Toronto,11
BUDAPEST,05,Budapest VII. kerület,Doha,1
BUDAPEST,05,Budapest VII. kerület,Asztana,1
BUDAPEST,05,Budapest VII. kerület,Csungking,2
BUDAPEST,05,Budapest VII. kerület,Hongkong,3
BUDAPEST,05,Budapest VII. kerület,Peking,1
BUDAPEST,05,Budapest VII. kerület,Sanghaj,2
BUDAPEST,05,Budapest VII. kerület,Bogota,1
BUDAPEST,05,Budapest VII. kerület,Szöul,2
BUDAPEST,05,Budapest VII. kerület,Pristina,5
BUDAPEST,05,Budapest VII. kerület,Havanna,3
BUDAPEST,05,Budapest VII. kerület,Kuvait,2
BUDAPEST,05,Budapest VII. kerület,Krakkó,3
BUDAPEST,05,Budapest VII. kerület,Varsó,7
BUDAPEST,05,Budapest VII. kerület,Vilnius,2
BUDAPEST,05,Budapest VII. kerület,Szkopje,1
BUDAPEST,05,Budapest VII. kerület,Kuala Lumpur,2
BUDAPEST,05,Budapest VII. kerület,Rabat,5
BUDAPEST,05,Budapest VII. kerület,Mexikóváros,5
BUDAPEST,05,Budapest VII. kerület,Podgorica,5
BUDAPEST,05,Budapest VII. kerület,Edinburgh,26
BUDAPEST,05,Budapest VII. kerület,London,235
BUDAPEST,05,Budapest VII. kerület,Manchester,21
BUDAPEST,05,Budapest VII. kerület,Berlin,65
BUDAPEST,05,Budapest VII. kerület,Düsseldorf,32
BUDAPEST,05,Budapest VII. kerület,München,53
BUDAPEST,05,Budapest VII. kerület,Stuttgart,56
BUDAPEST,05,Budapest VII. kerület,Osló,13
BUDAPEST,05,Budapest VII. kerület,Milánó,13
BUDAPEST,05,Budapest VII. kerület,Róma,13
BUDAPEST,05,Budapest VII. kerület,Moszkva,2
BUDAPEST,05,Budapest VII. kerület,Szentpétervár,1
BUDAPEST,05,Budapest VII. kerület,Lima,3
BUDAPEST,05,Budapest VII. kerület,Lisszabon,13
BUDAPEST,05,Budapest VII. kerület,Bukarest,2
BUDAPEST,05,Budapest VII. kerület,Csíkszereda,63
BUDAPEST,05,Budapest VII. kerület,Kolozsvár,37
BUDAPEST,05,Budapest VII. kerület,Barcelona,30
BUDAPEST,05,Budapest VII. kerület,Madrid,22
BUDAPEST,05,Budapest VII. kerület,Bern,61
BUDAPEST,05,Budapest VII. kerület,Stockholm,30
BUDAPEST,05,Budapest VII. kerület,Rijád,1
BUDAPEST,05,Budapest VII. kerület,Belgrád,2
BUDAPEST,05,Budapest VII. kerület,Szabadka,25
BUDAPEST,05,Budapest VII. kerület,Szingapúr,7
BUDAPEST,05,Budapest VII. kerület,Lendva,1
BUDAPEST,05,Budapest VII. kerület,Ljubljana,9
BUDAPEST,05,Budapest VII. kerület,Bangkok,6
BUDAPEST,05,Budapest VII. kerület,Ankara,1
BUDAPEST,05,Budapest VII. kerület,Isztambul,9
BUDAPEST,05,Budapest VII. kerület,Tunisz,5
BUDAPEST,05,Budapest VII. kerület,Wellington,1
BUDAPEST,05,Budapest VII. kerület,Beregszász,15
BUDAPEST,05,Budapest VII. kerület,Kijev,3
BUDAPEST,05,Budapest VII. kerület,Ungvár,11
BUDAPEST,05,Budapest VII. kerület,Taskent,1
BUDAPEST,05,Budapest VII. kerület,Hanoi,7
BUDAPEST,06,Budapest VIII. kerület,Chicago,2
BUDAPEST,06,Budapest VIII. kerület,Los Angeles,9
BUDAPEST,06,Budapest VIII. kerület,New York,31
BUDAPEST,06,Budapest VIII. kerület,San Francisco,8
BUDAPEST,06,Budapest VIII. kerület,Washington,8
BUDAPEST,06,Budapest VIII. kerület,Buenos Aires,3
BUDAPEST,06,Budapest VIII. kerület,Canberra,1
BUDAPEST,06,Budapest VIII. kerület,Melbourne,3
BUDAPEST,06,Budapest VIII. kerület,Sydney,8
BUDAPEST,06,Budapest VIII. kerület,Bécs,35
BUDAPEST,06,Budapest VIII. kerület,Brüsszel,40
BUDAPEST,06,Budapest VIII. kerület,Szarajevó,5
